學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
112,1,公立,一般大學,0018,國立嘉義大學,博士班,男,108,4,2,0,0,0,0,0,2,0,2,0,0,1,1,0
112,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),女,3658,89,63,61,0,0,1,0,1,0,26,6,0,3,17,0
112,1,公立,一般大學,0018,國立嘉義大學,學士班(進修),女,635,47,22,16,0,0,0,0,6,0,25,7,0,3,15,0
112,1,公立,一般大學,0018,國立嘉義大學,碩士班(日間),女,683,40,16,5,0,0,0,0,11,0,24,2,0,4,18,0
112,1,公立,一般大學,0018,國立嘉義大學,碩士在職專班,女,554,28,9,0,0,1,1,0,7,0,19,2,0,1,16,0
112,1,公立,一般大學,0018,國立嘉義大學,博士班,女,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,公立,一般大學,0019,國立高雄大學,學士班(日間),男,2743,69,34,31,0,0,0,0,3,0,35,11,0,5,19,0
112,1,公立,一般大學,0019,國立高雄大學,學士班(進修),男,56,8,2,1,0,0,0,0,1,0,6,0,0,1,5,0
112,1,公立,一般大學,0019,國立高雄大學,碩士班(日間),男,477,13,4,2,0,0,0,0,0,2,9,1,0,3,5,0
112,1,公立,一般大學,0019,國立高雄大學,碩士在職專班,男,335,22,3,2,0,0,0,0,1,0,19,3,0,4,12,0
112,1,公立,一般大學,0019,國立高雄大學,博士班,男,26,3,2,0,0,0,0,0,2,0,1,0,0,0,1,0
112,1,公立,一般大學,0019,國立高雄大學,學士班(日間),女,1975,57,35,35,0,0,0,0,0,0,22,4,0,2,16,0
112,1,公立,一般大學,0019,國立高雄大學,學士班(進修),女,66,6,2,1,0,0,0,0,1,0,4,0,0,0,4,0
112,1,公立,一般大學,0019,國立高雄大學,碩士班(日間),女,249,10,1,1,0,0,0,0,0,0,9,0,0,1,8,0
112,1,公立,一般大學,0019,國立高雄大學,碩士在職專班,女,213,12,3,0,0,0,1,0,2,0,9,0,0,1,8,0
112,1,公立,一般大學,0019,國立高雄大學,博士班,女,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,公立,一般大學,0020,國立東華大學,學士班(日間),男,3825,102,50,48,0,0,1,0,0,1,52,3,0,16,33,0
112,1,公立,一般大學,0020,國立東華大學,碩士班(日間),男,688,53,22,13,0,0,1,0,8,0,31,3,0,12,16,0
112,1,公立,一般大學,0020,國立東華大學,碩士在職專班,男,186,25,2,1,0,0,0,0,1,0,23,0,0,10,13,0
112,1,公立,一般大學,0020,國立東華大學,博士班,男,233,13,6,2,0,1,0,0,2,1,7,1,0,5,1,0
112,1,公立,一般大學,0020,國立東華大學,學士班(日間),女,4150,100,55,50,0,1,3,0,0,1,45,4,0,13,28,0
112,1,公立,一般大學,0020,國立東華大學,碩士班(日間),女,763,45,21,13,0,1,0,0,5,2,24,3,0,5,16,0
112,1,公立,一般大學,0020,國立東華大學,碩士在職專班,女,326,22,7,1,0,2,0,0,1,3,15,1,0,4,10,0
112,1,公立,一般大學,0020,國立東華大學,博士班,女,179,11,4,2,0,1,1,0,0,0,7,0,0,3,4,0
112,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),男,2337,54,26,26,0,0,0,0,0,0,28,6,1,4,17,0
112,1,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),男,392,8,1,0,0,0,0,0,1,0,7,1,0,2,4,0
112,1,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,男,180,13,0,0,0,0,0,0,0,0,13,0,0,6,7,0
112,1,公立,一般大學,0021,國立暨南國際大學,博士班,男,179,3,0,0,0,0,0,0,0,0,3,0,0,1,2,0
112,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),女,2465,57,30,30,0,0,0,0,0,0,27,6,0,3,18,0
112,1,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),女,490,21,2,0,0,0,0,0,2,0,19,3,0,1,15,0
112,1,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,女,346,14,0,0,0,0,0,0,0,0,14,3,0,6,5,0
112,1,公立,一般大學,0021,國立暨南國際大學,博士班,女,167,8,0,0,0,0,0,0,0,0,8,2,0,3,3,0
112,1,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),男,3895,57,18,14,0,0,0,1,3,0,39,13,0,5,21,0
112,1,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),男,2815,70,27,8,0,0,1,0,2,16,43,9,0,24,10,0
112,1,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,男,538,22,3,0,0,0,0,0,2,1,19,6,0,5,8,0
112,1,公立,技專校院,0022,國立臺灣科技大學,博士班,男,782,45,11,1,0,0,1,0,6,3,34,18,0,8,8,0
112,1,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),女,1698,28,12,11,0,0,0,0,1,0,16,3,0,1,12,0
112,1,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),女,1319,45,19,4,0,0,1,0,7,7,26,4,0,16,6,0
112,1,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,女,323,12,4,0,0,0,1,0,1,2,8,3,0,4,1,0
112,1,公立,技專校院,0022,國立臺灣科技大學,博士班,女,302,15,3,0,0,0,0,0,1,2,12,4,0,4,4,0
112,1,公立,技專校院,0023,國立雲林科技大學,學士班(日間),男,4126,78,31,27,0,0,0,1,3,0,47,25,0,22,0,0
112,1,公立,技專校院,0023,國立雲林科技大學,學士班(進修),男,119,6,4,1,0,0,0,0,3,0,2,0,0,2,0,0
112,1,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),男,1362,58,21,17,0,0,0,1,3,0,37,7,0,30,0,0
112,1,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,男,461,18,1,0,0,0,0,1,0,0,17,3,0,14,0,0
112,1,公立,技專校院,0023,國立雲林科技大學,博士班,男,264,15,4,1,0,0,0,1,2,0,11,4,0,7,0,0
112,1,公立,技專校院,0023,國立雲林科技大學,學士班(日間),女,2595,35,21,20,0,0,0,1,0,0,14,4,0,10,0,0
112,1,公立,技專校院,0023,國立雲林科技大學,學士班(進修),女,129,8,5,5,0,0,0,0,0,0,3,0,0,3,0,0
