學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
112,公立,一般大學,0018,國立嘉義大學,學士班(進修),男,1056,153,153,9,6,30,16,69,0,0,12,0,0,7,3,1,0,0,0,0
112,公立,一般大學,0018,國立嘉義大學,碩士班(日間),男,576,101,101,2,5,7,1,35,0,2,11,2,23,3,5,5,0,0,0,0
112,公立,一般大學,0018,國立嘉義大學,碩士在職專班,男,367,88,88,3,3,4,0,49,0,7,0,1,14,0,5,2,0,0,0,0
112,公立,一般大學,0018,國立嘉義大學,博士班,男,108,22,22,1,0,0,0,10,0,3,1,0,5,0,2,0,0,0,0,0
112,公立,一般大學,0018,國立嘉義大學,學士班(日間),女,3658,159,159,29,9,83,4,7,1,2,0,15,0,1,6,0,2,0,0,0
112,公立,一般大學,0018,國立嘉義大學,學士班(進修),女,635,88,88,4,5,24,2,34,4,3,1,2,0,2,5,1,1,0,0,0
112,公立,一般大學,0018,國立嘉義大學,碩士班(日間),女,683,137,137,6,4,5,1,65,4,7,0,3,29,2,6,5,0,0,0,0
112,公立,一般大學,0018,國立嘉義大學,碩士在職專班,女,554,126,126,4,3,2,0,48,4,20,0,0,31,0,5,9,0,0,0,0
112,公立,一般大學,0018,國立嘉義大學,博士班,女,76,9,9,1,0,0,0,3,0,1,0,0,3,0,1,0,0,0,0,0
112,公立,一般大學,0019,國立高雄大學,學士班(日間),男,2743,152,144,19,3,43,51,20,0,0,3,4,0,0,1,0,0,8,0,8
112,公立,一般大學,0019,國立高雄大學,學士班(進修),男,56,23,22,1,2,0,1,14,0,1,0,0,0,3,0,0,0,1,0,1
112,公立,一般大學,0019,國立高雄大學,碩士班(日間),男,477,82,82,10,6,11,15,32,0,2,2,0,0,0,2,2,0,0,0,0
112,公立,一般大學,0019,國立高雄大學,碩士在職專班,男,335,95,94,7,3,1,1,77,0,3,0,0,0,0,2,0,0,1,0,1
112,公立,一般大學,0019,國立高雄大學,博士班,男,26,10,10,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0
112,公立,一般大學,0019,國立高雄大學,學士班(日間),女,1975,81,79,25,1,20,29,0,0,1,0,0,0,0,2,1,0,2,0,2
112,公立,一般大學,0019,國立高雄大學,學士班(進修),女,66,20,20,1,0,1,2,11,0,1,0,1,0,2,1,0,0,0,0,0
112,公立,一般大學,0019,國立高雄大學,碩士班(日間),女,249,56,56,6,0,10,6,26,0,2,0,0,4,0,2,0,0,0,0,0
112,公立,一般大學,0019,國立高雄大學,碩士在職專班,女,213,71,71,3,1,0,3,57,1,3,0,0,0,0,3,0,0,0,0,0
112,公立,一般大學,0019,國立高雄大學,博士班,女,5,4,4,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
112,公立,一般大學,0020,國立東華大學,學士班(日間),男,3825,193,193,14,13,70,26,19,0,0,6,6,0,3,21,8,7,0,0,0
