學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),僑生小計,僑生男,僑生女,港澳生小計,港澳生男,港澳生女,僑生及港澳生數之在學比率(%)
111,私立,一般大學,1016,銘傳大學,04121020,財務金融學系,學士班(日間),2,2,0,1,1,0,0.43
111,私立,一般大學,1016,銘傳大學,04121059,經濟與金融學系,學士班(日間),2,1,1,3,3,0,1.16
111,私立,一般大學,1016,銘傳大學,04131017,國際企業與貿易學士學位學程,學士班(日間),24,11,13,3,1,2,4.70
111,私立,一般大學,1016,銘傳大學,04131036,企業管理學系,學士班(日間),14,7,7,12,8,4,3.18
111,私立,一般大學,1016,銘傳大學,04131061,國際企業學系,學士班(日間),9,4,5,3,0,3,1.57
111,私立,一般大學,1016,銘傳大學,04143015,廣告暨策略行銷學系,學士班(日間),22,6,16,22,6,16,13.84
111,私立,一般大學,1016,銘傳大學,04199089,金融科技應用學士學位學程,學士班(日間),0,0,0,1,1,0,0.56
111,私立,一般大學,1016,銘傳大學,05121009,生物科技學系,學士班(日間),0,0,0,1,1,0,0.26
111,私立,一般大學,1016,銘傳大學,05421079,應用統計與資料科學學系,學士班(日間),1,1,0,1,1,0,0.61
111,私立,一般大學,1016,銘傳大學,06131029,資訊工程學系,學士班(日間),2,2,0,7,6,1,1.94
111,私立,一般大學,1016,銘傳大學,06131045,資訊管理學系,學士班(日間),3,2,1,4,3,1,1.10
111,私立,一般大學,1016,銘傳大學,06132078,資訊傳播工程學系,學士班(日間),0,0,0,2,2,0,0.53
111,私立,一般大學,1016,銘傳大學,06134050,電腦與通訊工程學系,學士班(日間),1,1,0,4,4,0,1.40
111,私立,一般大學,1016,銘傳大學,06134096,資訊科技應用與管理學士學位學程,學士班(日間),1,1,0,0,0,0,1.27
111,私立,一般大學,1016,銘傳大學,07141025,電子工程學系,學士班(日間),0,0,0,1,0,1,0.30
111,私立,一般大學,1016,銘傳大學,07193043,生物醫學工程學系,學士班(日間),0,0,0,3,3,0,1.58
111,私立,一般大學,1016,銘傳大學,07311026,建築學系,學士班(日間),3,2,1,5,4,1,3.17
111,私立,一般大學,1016,銘傳大學,07313048,都市規劃與防災學系,學士班(日間),0,0,0,3,2,1,1.52
111,私立,一般大學,1016,銘傳大學,10131044,餐旅管理學系,學士班(日間),44,13,31,41,15,26,21.96
111,私立,一般大學,1016,銘傳大學,10151008,旅遊與觀光學士學位學程,學士班(日間),1,1,0,0,0,0,1.18
