學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
112,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,26,17,9,31.71
112,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),11,9,2,2.38
112,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),8,3,5,2.49
112,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,24,15,9,21.24
112,公立,一般大學,0002,國立清華大學,07112071,工學院學士班,學士班(日間),17,11,6,9.77
112,公立,一般大學,0002,國立清華大學,07112118,前瞻功能材料產業博士學位學程,博士班,0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,碩士班(日間),5,3,2,9.80
112,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,2,1,1,10.53
112,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),12,12,0,2.42
112,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,碩士班(日間),5,5,0,1.23
112,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,博士班,10,7,3,13.70
112,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,碩士班(日間),3,3,0,1.41
112,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,博士班,5,5,0,13.51
112,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,碩士班(日間),2,1,1,1.38
112,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,博士班,5,3,2,20.00
112,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),6,6,0,3.61
112,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,博士班,7,6,1,36.84
112,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),113,87,26,36.93
112,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),24,20,4,5.13
112,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),15,13,2,4.13
112,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,12,11,1,16.90
112,公立,一般大學,0002,國立清華大學,07151138,電動載具先進智慧製造技術產業碩士專班,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,07151141,AI智慧製造與智慧物聯網產業碩士專班,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,07151145,流體機械暨先進材料與智慧檢測產業碩士專班,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),16,13,3,5.46
112,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),9,7,2,4.21
